"","x"
"299","INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-21-2010)    Salt cavern gas storage well, under authority KDHE, no API (DRL 1-6-2012)"
"300","INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-21-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-6-2012)"
"301","INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-21-2010)   Salt cavern gas storage well, under authority KDHE, no API (DRL 1-6-2012)"
"302","INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-21-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-6-2012)"
"303","INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-21-2010)    Salt cavern gas storage well, under authority KDHE, no API (DRL 1-6-2012)"
"304","INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-21-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-6-2012)"
"305","INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-21-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-6-2012)"
"306","INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-21-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
"307","INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-21-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
"308","INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-27-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)   Gamma Ray Density Log well named 'X9' (DRL 8-24-11)"
"309","INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-21-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
"310","INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-21-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
"311","INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-21-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
"312","INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-21-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-6-2012)"
"313","Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
"314","INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-27-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
"315","INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-22-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
"316","INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-22-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
"317","Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)    Gamma Ray Density Log mislabeled as section 28 (DRL 8-24-11)"
"318","INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-22-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
"319","INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-22-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
"320","INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-22-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
"321","INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-22-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
"322","INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-22-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
"323","INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-22-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
"324","INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-22-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
"325","INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-27-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
"326","INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-22-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
"327","INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-27-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
"328","INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-27-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
"329","INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-27-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
"330","INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-27-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
"331","INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-27-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
"332","INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-27-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
"333","INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-27-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
"334","INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-27-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
"335","INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-27-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
"336","INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-27-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-6-2012)"
"337","Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
"338","INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-27-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
"339","INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-27-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
"340","INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-27-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
"341","INFORMATION PER RECORDS AT KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-27-2010)    Gamma Ray Density Log well labeled as 'X 10' (DRL 8-24-11)    Salt cavern gas storage well, under authority KDHE, no API (DRL 1-6-2012)"
"342","INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-27-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
"343","INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-27-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
"344","INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-27-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
"345","INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-27-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
"346","INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-27-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
"347","INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-27-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
"348","INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-27-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-6-2012)"
"349","INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-27-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-6-2012)"
"350","INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-27-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-6-2012)"
"351","INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-27-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-6-2012)"
"352","INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-27-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
"353","INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-27-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)     WAS ENTERED WITH LOCATION OF 29-19S-40W IN ERROR. 29-19S-04W IS CORRECT."
"354","DATA PER RECORDS AT KG SOCIETY IN WICHITA. (RLH 01-26-2011) Class 1 injection well under authority of KDHE, no API. Current operator listed as 'Kansas Ethanol,' status changed from 'INJ' to 'Class 1' (DRL 4-16-2012)"
"355","DRY SALT WELL. DATA PER RECORDS AT KG SOCIETY IN WICHITA. -RLH 02/04/11"
"356","Disposal into Arbuckle."
"357","AB LOC SWD"
"358","Salt exploration well."
"359","Original well converted to SWD API 15-049-21858"
"360","AB LOC SWD"
"361","Disposal into arbuckle"
"362","Expired intent for SWD."
"363","AB LOC SWD"
"364","Non Hazardous Class 1 Disposal Well KDHE Permit - KS-01-159-008. MTD, WWSL, 09-06-2011"
"365","Pintail Petroleum only drilled hole, Whitetail Crude completed well as SWD; Corrected ACO-1 pending (DS-  DRL 03-12-2013 per Pintail Petr)"
"366","AB-LOC SWD"
"367","AB-LOC SWD"
"368","Class I injection well under authority KDHE. Well defunct in 2011 per KDHE, exact date unavailable (DRL 11-8-2011)Changed quarter call location from NE to NW SW NE per KDHE records (5-7-2012)"
"369","AB LOC SWD"
"370","Salt cavern gas storage well, under authority KDHE, no API (DRL 1-9-12)    Location approximated from other wells in series (DRL 12-20-2011)"
"371","Salt cavern gas storage well, under authority KDHE, no API (DRL 1-9-12)"
"372","Well added per class I injection well priority list for KGS CO2 project (DRL 12-16-11)"
"373","Class I Injection Well under authority KDHE, no API (DRL 12-16-11)       (Well entry may match existing well: 'Midwest Underground Storage Fee 1' API: 15-113-20119)"
"374","Class I Injection Well under authority KDHE, no API (DRL 12-29-11)"
"375","Class I Injection Well under authority KDHE, no API (DRL 12-29-11) May match existing well KID 1002877237 (DRL 5-4-2012)"
"376","Class I Injection Well under authority KDHE, no API (DRL 12-29-11)       Well entry could match with existing well: Conway Undrgrd LPG 2, API: 15-113-20546  (DRL 12-29-11)"
"377","Class I Injection Well under authority KDHE, no API (DRL 12-29-11)"
"378","Class I Injection well under authority KDHE, no API (DRL 12-29-11)Logs compiled together in best possible manner from separate copies (DRL 8-1-2012)"
"379","Class I Injection well under authority KDHE, no API (DRL 12-29-11)    Well entry may match existing well: 'CLASS-1 NON-HAZD DISPOSAL,' KID 1043454619 same location (DRL 12-29-11)  Discrepancy--KDHE logs indicate location in SE SE NE and NE SE NE (DRL 1-1"
"380","Class I injection well under authority KDHE, no API (DRL 12-29-11)    (Well entry may match existing well in same location: Gingerich #1) (DRL 12-29-11)"
"381","Class I Injection Well under authority KDHE, no API (DRL 1-4-12)"
"382","Class I Injection Well under authority KDHE, no API (DRL 1-4-2012)    Well may correspond to Abbott 1 lease in same section, API 15-173-20350 (DRL 1-4-2012)"
"383","Class I Injection Well under authority KDHE, no API (DRL 1-4-2012) Well depth taken from well log"
"384","Class I Injection Well under authority KDHE, no API (DRL 1-4-2012)"
"385","Class I Injection Well under authority KDHE, no API (DRL 1-4-2012)"
"386","Class I Injection well under KDHE authority, no API (DRL 1-4-2012)"
"387","Class I Injection Well under KDHE authority, no API (DRL 1-4-2012)  Well may correspond to Hamilton 1 well, operator Cities Service Oil,  API 15-155-00062 (DRL 2-6-2012)"
"388","Class I Injection Well under authority KDHE, no API (DRL 1-11-2012)  Well data added per log info from KDHE, may match existing well API 15-093-20063 (DRL 1-11-2012)Operator formerly Colorado Interstate Gas Company (DRL 5-7-2012)"
"389","Class I Injection Well under authority KDHE (DRL 1-12-2012)  Well may match Deffenbaugh Industries Class I well in same section (DRL 1-12-2012)"
"390","Class I Injection well under authority KDHE, no API (DRL 1-17-12)  Operator changed from Koch to Oxy per KDHE logs, depth changed from 4752 to 4666 (DRL 4-9-2012)"
"391","Class I Injection Well under authority KDHE, no API (DRL 1-20-2012)  Well operator changed from 'Oxy Inc' to 'Koch' per KDHE records, as well as name change from 'Hamilton WWD 3' to 'Koch Fractionator 3'(DRL 1-25-12)Operator changed from Koch to Oneok pe"
"392","Class I Injection well under authority KDHE, no API (DRL 1-24-12)  KDHE elogs indicate former operators were Cities Service Oil and Gas and Oxy, well location, date, and depth per elog information (DRL 1-24-12)Operator changed from Koch to Oneok per KDHE"
"393","AB LOC SWD"
"394","Class I Injection Well under KDHE authority. No API (DRL 2-13-2012) Well may correspond to Great Bend Packing 1 in same section (DRL 2-13-2012)"
"395","Class I injection well under KDHE authority. No API (DRL 2-14-2012) Well may correspond to existing well 'SCHROEDER 2' operator Northern Gas Products or 'Bushton OWWO' operator Gulf Interstate in same section. Depth taken from Bushton  (DRL 2-14-2012)"
"396","Class I injection well under KDHE authority. No API (DRL 2-21-2012)  Well may match existing 'Mullinville 1' well in same section. API 15-097-00170 (DRL 2-21-2012)"
"397","Salt cavern gas storage well, under authority KDHE, no API (DRL 12-6-2011)"
"398","Salt cavern gas storage well, under authority KDHE, no API (DRL 12-6-2011)"
"399","Salt cavern gas storage well, under authority KDHE, no API (DRL 1-9-12)      Location approximated from other wells in series (DRL 12-20-11)"
"400","Salt cavern gas storage well, under authority KDHE, no API (DRL 1-9-12)   Location approximated from other wells in series (DRL 12-20-2011)"
"401","Class I injection well under KDHE authority, no API (DRL 1-6-12)  Location, date, and depth added per e-log record from KDHE (DRL 1-6-12)"
"402","Class I Injection well under authority KDHE, no API (DRL 3-13-12) Well may correspond to existing SWD well in same section (DRL 3-13-2012)Quarter calls and well info per logs from KDHE (DRL 3-13-2012)"
"403","AB LOC SWD"
"404","Class I injection well under authority KDHE, no API (DRL 4-4-2012)  Well may correspond to exisiting Northern Natural Gas 'Schroeder SWD 3' in same section (DRL 4-6-2012)"
"405","Class I injection well under KDHE authority, no API.KDHE Permit No. KS-01-111-001  Former Operator was Iowa Beef Processors Inc. (DRL 4-20-2012)"
"406","Class I injection well under KDHE authority, no API. Well may correspond to existing well with API 15-035-72246 and B&S Well Service operator. (DRL 4-13-2012)"
"407","Class I injection well under KDHE authority, no API (DRL 4-13-2012)"
"408","Class I injection well under KDHE authority, no API (DRL 4-13-2012)"
"409","Class I injection well under KDHE authority, no API. Well may correspond to existing well with API 15-159-00086 (DRL 4-13-2012)"
"410","Class I injection well under KDHE authority, no API (DRL 4-13-2012)"
"411","Permitted, Not Drilled. Class 1 injection well under authority of KDHE, no API KDHE Permit No. KS-01-113-007(DRL 4-16-2012)"
"412","Class 1 injection well under authority of KDHE. Well may correspond to existing well 'Wolf 1'with API 15-159-03333 and KID 1001281897 (DRL 4-16-2012)"
"413","Class I Injection well under authority of KDHE, no API. Well may correspond to Hutchins 1 well with KID 1001282244. (DRL 4-17-2012)"
"414","Class I Injection well under authority of KDHE, no API (DRL 4-17-2012)"
"415","Class I injection well under authority of KDHE, no API (DRL 4-17-2012)"
"416","Class I Injection well under authority of KDHE, no API (DRL 4-17-2012)"
"417","Class I injection well under authority KDHE, no API (DRL 4-13-2012)Well may correspond to well with API 15-053-19058 in same section (DRL 4-13-2012)"
"418","Class I injection well under authority of KDHE, no API. Operator formerly Iowa Beef Processors. Well depth, drilling date, etc. taken from KDHE e-logs (DRL 4-20-2012)"
"419","Class I injection well under KDHE authority. May be well with KID 1043447432 (DRL 5-7-2012)"
"420","Class I Injection well under authority KDHE, no API. Possibly well with KID 1002915459 in same section (DRL 5-7-2012)"
"421","AB-LOC SWD"
"422","AB LOC SWD"
"423","AB LOC SWD"
"424","Name corrected from Nattier 1-16V SWD to Nattier 16V-1 SWD per operator (DRL 7-11-2013)"
"425","Class I injection well under KDHE authority, no API (DRL 7-30-2012)"
"426","Class I injection well under KDHE authority, no API (DRL 7-30-2012)"
"427","Class I injection well under KDHE authority, no API (DRL 7-30-2012)"
"428","Class I injection well under KDHE authority, no API (DRL 7-30-2012)"
"429","Class I Injection well under KDHE authority, no API (DRL 7-31-2012)"
"430","Class I Injection well under KDHE authority, no API. Could correspond to 'McGannon 3' in same section with API 15-067-20609-0001 (DRL 7-31-2012)"
"431","AB LOC SWD"
"432","this well's completion report previously linked to the Woodward 1 SWD well, removed and merged with this KCC Water Supply well record 15-011-01232(DLS-DRL 2015-03-13)"
"433","Conv. to SWDW by White Supply re API15-077-10015. (CUTTINGS WELL_ID=113722)"
"434","Deep Class V well regulated by KDHE, per KDHE (DLS-KGS 8-17-2017) well added per Gerlach records, no API (JAR 1-11-2012)"
"435","AB LOC SWD"
"436","AB LOC SWD"
"437","According to completion card, well was plugged back in April of 1963 and converted to a Cedar Hill SWD. (KCC)plugging date added to record 2015-03-19 (DLS)"
"438","AB LOC SWD"
"439","well was converted to Inj/SWD in 1993, current KCC status (2007)states converted to producing well (DRL 2/07)"
"440"," Class 1 injection well under authority of KDHE, no API(DRL 4-16-2012)"
"441","Well may match Class I well with KID 1002876875 (DRL 5-4-2012)"
"442","Stanolind Oil & Gas deepened well in 1954 to total depth of 4060 for SWDW. (drl 8-18-05)"
"443","Disposal into Arbuckle"
"444","well number changed from 5 SWD to 5-1 per operator, added spud, compl dates. (DRL-KGS 11-9-2016)"
"445","The KCC told me that the operator applied for a SWD well on the 01 and renamed it Holton 4.  Then the application was dismissed and it went back to producing on the  02 and the name went back to Lorena 1-B RE. MCM 4 Apr 2007"
"446","Logs of same type show different scales so all were kept for display."
"447","Workover to SWD by CRA."
"448","SWD into Arbuckle 4010-4290"
"449","believed to be same well as Mid-West Oil and Gas drilled in the twenties-also exact footage as a Stanolind #1 SWD drilled to just over 500 feet-LKS"
"450","SALT WATER DISPOSAL TEST"
"451","Discovery well for Salty Creek West field."
"452","From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Dodge City, Permit 01-057-002"
"453","From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Wichita, Permit 01-173-001"
"454","From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Wichita, Permit 01-173-002"
"455","From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Lyons, Permit 01-159-001"
"456","From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Lyons, Permit 01-159-005"
"457","From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Lyons, Permit 01-159-006"
"458","From KDHE, KDHE Class I UIC Injection Well, Locations as of 5/25/2016, City of Shawnee, Permit 01-091-002. Disposal into Arbuckle."
"459","From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Hutchinson, Permit 01-155-008"
"460","From KDHE, KDHE Class I UIC Injection, Well Locations as of 5/25/2016, City of El Dorado, Permit 01-115-001.  FMI Composite Log and FMI Image mislabeled with location 30-18N-20E, correct location 15-26S-5E according to corresponding log data (DRL 8-12-20"
"461","From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Lyons, Permit 01-159-007"
"462","From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Hutchinson, Permit 01-155-004"
"463","From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of McPherson, Permit 01-113-002"
"464","UIC Class I Non Hazardous Waste Injection Well, Kansas Permit No. KS-01-113-008"
"465","UIC Class I Non Hazardous Waste Injection Well, Kansas Permit No. KS-01-113-009"
"466","From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of McPherson, Permit 01-113-010"
"467","From KDHE, KDHE Class I UIC Injection Well, Locations as of 5/25/2016, City of Mullinville, Permit 01-097-001"
"468","From KDHE, KDHE Class I UIC Injection Well, Locations as of 5/25/2016, City of Bushton, Permit 01-159-003"
"469","From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Wichita, Permit 01-173-004"
"470","From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Wichita, Permit 01-173-006"
"471","From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Wichita, Permit 01-173-007"
"472","From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Wichita, Permit 01-173-008"
"473","From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Wichita, Permit 01-173-010"
"474","From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Wichita, Permit 01-173-011"
"475","From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of McPherson, Permit 01-113-006"
"476","From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Hutchinson, Permit 01-155-005"
"477","From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Hutchinson, Permit 01-155-006"
"478","From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Bushton, Permit 01-053-002"
"479","From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Bushton, Permit 01-053-003"
"480","From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Bushton, Permit 01-053-004"
"481","From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Bushton, Permit 01-053-005"
"482","From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Hutchinson, Permit 01-155-002"
"483","From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Hutchinson, Permit 01-155-003"
"484","From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Hutchinson, Permit 01-155-007"
"485","From KDHE, KDHE Class I UIC Injection Well, Locations as of 5/25/2016, City of Harper, Permit 01-077-001"
"486","From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Harper, Permit 01-077-002"
"487","From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Great Bend, Permit 01-009-001"
"488","From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Lakin, Permit 01-093-001"
"489","From KDHE, KDHE Class I UIC Injection, Well Locations as of 5/25/2016, City of Dodge City, Permit 01-057-003"
"490","From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Holcomb, Permit 01-055-002"
"491","From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Emporia, Permit 01-111-001"
"492","From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Hutchinson, Permit 01-155-012"
"493","From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Garden City, Permit 01-055-003"
"494","From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of McPherson, Permit 01-113-003"
"495","From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of McPherson, Permit 01-113-004"
"496","From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of McPherson, Permit 01-113-001"
"497","From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of McPherson, Permit 01-159-002"
"498","From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of McPherson, Permit 01-159-008"
"499","Elogs of similar type have different display parameters."
"500","UIC Class I Non Hazardous Waste Injection Well, Kansas Permit No. KS-01-113-011. KGS-W, MTD, 05/08/2018"
"501","Well history - Originally drilled as oil well, appears no production, several months after completion date, deepened and completed as SWD. Workover code 0001 added to API for administrative tracking.  KGS-W, MTD, 05/11/2018"
"502","AKA: Fischer SWD #1 and Fischer SWDS/JT #1. KGS-W, MTD, 05/08/2018"
