"","KID","API_NUMBER","API_NUM_NODASH","LEASE","WELL","FIELD","LATITUDE","LONGITUDE","LONG_LAT_SOURCE","TOWNSHIP","TWN_DIR","RANGE","RANGE_DIR","SECTION","SPOT","FEET_NORTH","FEET_EAST","FOOT_REF","ORIG_OPERATOR","CURR_OPERATOR","ELEVATION","ELEV_REF","DEPTH","PRODUCE_FORM","IP_OIL","IP_GAS","IP_WATER","PERMIT","SPUD","COMPLETION","PLUGGING","MODIFIED","OIL_KID","OIL_DOR_ID","GAS_KID","GAS_DOR_ID","KCC_DOCKET","STATUS","STATUS2","COMMENTS","permit_as_date","spud_as_date","completion_as_date","plugging_as_date","modified_as_date"
"127045",1006017078,"15-007-21914",15007219140000,"Colton","1","MCGUIRE-GOEMANN",37.2492854,-98.4852176,"Calc. from footages",32,"S",11,"W",23,"  NW SW NE",3630,-2310,"SE","TXO Production Corp.","Marathon Oil Company",1512," KB",3803,"Indian Cave",NA,182,NA,"30-AUG-1984","04-SEP-1984","30-SEP-1984","01-AUG-1987","29-OCT-2013",NA,NA,NA,NA,"","GAS-P&A","Plugged and Abandoned","Plugged by Kevin Allam Oil Operations, converted to SWD?.",1984-08-30,1984-09-04,1984-09-30,1987-08-01,2013-10-29
"131149",1006025429,"15-009-22563",15009225630000,"Rock Salt Blues","1","REDWING WEST",38.5336236,-98.7112557,"Calc. from footages",17,"S",13,"W",36,"C  SE NE NW",4290,-2970,"SE","Wild Boys Land Cattle Oil-Silver Bullet","unavailable",1831," KB",3358,"",NA,NA,NA,"","30-OCT-1981","27-NOV-1981","08-NOV-1989","21-JUL-2003",1001129495,116239,NA,NA,"","OIL-P&A","Plugged and Abandoned","some records marked Jacobs F Rock Salt Blues 1 - SKS 5/29/20021",NA,1981-10-30,1981-11-27,1989-11-08,2003-07-21
"136023",1006035227,"15-039-20257",15039202570000,"CHAMBERS","1","LESTER",39.9295226,-100.2623089,"From GPS",1,"S",26,"W",29," SW SW SW SE",193,-2561,"SE","ABERCROMBIE A L","Adeco, Inc.",2520," KB",1818,"",NA,NA,NA,"08-JAN-1973","13-JAN-1973","15-JAN-1973","","31-MAR-2008",NA,NA,NA,NA,"D16890.0","SWD","Authorized Injection Well","Elog has lease name Lester Pool SWD #1 and has quarters SW SW SW SE, which are incorrect. (DRL 10/2007)",1973-01-08,1973-01-13,1973-01-15,NA,2008-03-31
"142997",1006049207,"15-053-20177",15053201770000,"Northern Natural Gas Products Co.","2-32","WILKENS SOUTHEAST",38.5354659,-98.3344972,"Calc. from footages",17,"S",9,"W",32," W2 NW NE NE",4950,-1065,"SE","Tenneco Oil","KG Oil Co",1767," KB",3347,"",NA,NA,NA,"","05-FEB-1971","14-MAY-1971","01-DEC-1972","26-APR-2000",1001111579,103863,NA,NA,"D19906.0","D&A","Plugged and Abandoned","ORIGINAL PLUGGING 12-01-1972. SWD OWWO PLUGGED 10-13-1999, Elog marked Northern Gas Products #2-32 - LH 6-23-2000",NA,1971-02-05,1971-05-14,1972-12-01,2000-04-26
"144698",1006052603,"15-055-20793",15055207930000,"Bidwell","4-13","GREAT EASTERN DITCH",38.0524993,-101.00866,"Calc. from footages",23,"S",34,"W",13,"C   NW SW",1980,-4620,"SE","Union Pacific Resources Co.","unavailable",2949," KB",4950,"",NA,NA,NA,"","06-JUL-1988","21-JUL-1988","31-JUL-1988","09-JUL-2016",NA,NA,NA,NA,"","D&A","Plugged and Abandoned","OWWO AS SWDW",NA,1988-07-06,1988-07-21,1988-07-31,2016-07-09
"145329",1006053864,"15-055-21480",15055214800000,"Harman Gas Unit","2HI","HUGOTON GAS AREA",38.0437372,-100.8969757,"Calc. from footages",23,"S",33,"W",24,"  NE SW NW",3880,-4030,"SE","Amoco Production Co.","BP America Production Company",2883," KB",2755,"Chase Group",NA,NA,NA,"09-FEB-1996","21-MAR-1996","17-APR-1996","16-MAY-2001","15-JUL-2016",NA,NA,1001114694,221257,"D27270.0","GAS-P&A","Plugged and Abandoned","Donna Dill (12/14/01): This is a wierd one, but both numbers are actually good.  15-055-21480-0001 is a gas well that is still producing.  15-055-21480 is a side string disposal that was plugged 05/16/2001.",1996-02-09,1996-03-21,1996-04-17,2001-05-16,2016-07-15
"148230",1006059607,"15-065-20960",15065209600000,"DAISY","1","PENOKEE NORTHEAST",39.3919994,-99.9486042,"Calc. from footages",8,"S",24,"W",1,"  NE NE NW",4950,-2970,"SE","ABERCROMBIE DRILLING INC","unavailable",2349," KB",3840,"",30,NA,NA,"26-SEP-1977","01-NOV-1977","18-NOV-1977","01-JUL-1986","03-JAN-2006",1001160738,NA,NA,NA,"","OIL-P&A","Converted to SWD Well","Discovery well for Penokee Northeast field. Converted to SWD well.",1977-09-26,1977-11-01,1977-11-18,1986-07-01,2006-01-03
"151978",1006067011,"15-071-20387",15071203870000,"Kuttler 'A'","2-D","BRADSHAW",38.3647126,-101.6409405,"From GPS",19,"S",39,"W",29,"  SE SE SE",130,-130,"SE","Cities Service Oil and Gas Corp.","Prairie Gas Operating, LLC",3530," KB",4643,"",NA,NA,NA,"19-AUG-1985","02-SEP-1985","03-OCT-1985","","30-MAR-2017",NA,NA,NA,NA,"D24203.0","SWD","Authorized Injection Well","Disposing into Lansing, Kansas City per ACO-1. (DRL 05 2008)",1985-08-19,1985-09-02,1985-10-03,NA,2017-03-30
"152814",1006068705,"15-075-30003",15075300030000,"Z. Gould","1","BRADSHAW GAS AREA",38.1382076,-101.7713848,"Calc. from footages",22,"S",41,"W",13,"  NE NE SW",2440,-2815,"SE","Kansas-Nebraska Natural Gas Co.","Hugoton Energy Corporation",3593," DF",2736,"",NA,NA,NA,"","03-DEC-1964","07-JAN-1965","09-OCT-1995","17-NOV-2015",NA,NA,NA,NA,"","SWD-P&A","Plugged and Abandoned","I think the D on the supporting records is because this is a disposal well, so I removed the D from the lease_name. MCM 12-16-04",NA,1964-12-03,1965-01-07,1995-10-09,2015-11-17
"152824",1006068724,"15-075-30095",15075300950000,"A. L. Bengtson","1","BRADSHAW GAS AREA",38.2279024,-101.7686095,"Calc. from footages",21,"S",41,"W",13,"C   SW NE",3300,-1980,"SE","","Plains Petroleum Operating Company",3607," KB",2793,"Chase Group",NA,NA,NA,"","18-NOV-1965","16-DEC-1965","10-JAN-1986","29-JUN-2017",NA,NA,1001144530,205719,"D12486.0","INJ-P&A","Plugged and Abandoned","per driller's log, dual completion as Disposal well (Sumner 2484-85) & Gas (Chase 2786-91) - SKS 7/5/2001",NA,1965-11-18,1965-12-16,1986-01-10,2017-06-29
"154680",1006072454,"15-081-10145",15081101450000,"KELLY Gas Unit 'C'","1","HUGOTON GAS AREA",37.682096,-100.7929191,"Calc. from footages",27,"S",32,"W",23,"C    SW",1320,-3960,"SE","PAN AMERICAN PETROLEUM CORP","Linn Operating, LLC",2872," KB",2780,"Chase Group",NA,NA,NA,"","19-FEB-1964","24-MAR-1964","","09-DEC-2016",NA,NA,1001116991,202301,"","GAS","Inactive Well","The Kelley 'D' 1 is a SWD well.  The proration record is numbered 'D' 1, but I think it is really the 'C' 1 so I put it here.  MCM 1-16-02",NA,1964-02-19,1964-03-24,NA,2016-12-09
"155800",1006074692,"15-083-20055",15083200550000,"Cheney","2","BUDA SOUTHEAST",38.2493511,-100.1422796,"Calc. from footages",21,"S",26,"W",2,"C   SW SE",660,-1980,"SE","Imperial Oil Co.","unavailable",2420," KB",4396,"Mississippian System",NA,NA,NA,"","09-OCT-1968","19-OCT-1968","01-NOV-1985","12-MAY-2017",1001118822,108956,NA,NA,"","OIL-P&A","Converted to EOR Well","Plugged by Fina Oil and Chemical Co.; may have been converted to SWD well.",NA,1968-10-09,1968-10-19,1985-11-01,2017-05-12
"156955",1006077013,"15-083-21294",15083212940000,"Springer 'A'","4","JETMORE",38.1134595,-99.9281287,"From GPS",22,"S",24,"W",26,"C   E2 NW",3949,-3323,"SE","Zinszer Oil Co., Inc.","Zinszer Oil Co., Inc.",2404," KB",1375,"",NA,NA,NA,"","05-JAN-1988","15-JAN-1988","","17-JUL-2013",NA,NA,NA,NA,"D25165.0","SWD","Authorized Injection Well","Disposal into Cedar Hills.",NA,1988-01-05,1988-01-15,NA,2013-07-17
"158318",1006079742,"15-093-21306",15093213060000,"BECKETT 'A'","3-D","PANOMA GAS AREA",38.0120976,-101.1380632,"Calc. from footages",23,"S",35,"W",35,"  NW SW NW",3380,-4950,"SE","Oxy USA, Inc.","OXY USA Inc.",3010," KB",5100,"",NA,NA,NA,"17-NOV-1993","07-DEC-1993","10-JUN-1994","","28-SEP-2006",1001176127,133953,NA,NA,"","SWD","Recompleted","Tim Carr said: This is a well that produced a little noncommercial oil from the Mississippian , then was recompleted as a salt water disposal well (probably for water from Panoma and Hugoton wells).  The oil is not from the Panoma. 06-25-2002 MCM",1993-11-17,1993-12-07,1994-06-10,NA,2006-09-28
"162846",1006088769,"15-101-21397",15101213970000,"JAMES","1","TERWILLIGER NORTH",38.6280446,-100.4924735,"Calc. from footages",16,"S",29,"W",26,"  SE SW SE",331,-1652,"SE","NATIONAL PETROLEUM RESERVES INC","National Petroleum Reserves, Inc.",2801," KB",4610,"",NA,NA,NA,"18-JUN-1987","27-JUN-1987","08-JUL-1987","08-JUL-1987","17-JUL-2013",NA,NA,NA,NA,"","D&A","Plugged and Abandoned","OWWO as SWD in 2000 by DANE HANSEN",1987-06-18,1987-06-27,1987-07-08,1987-07-08,2013-07-17
"164516",1006092131,"15-113-20893",15113208930000,"CROWTHERS","1","FANSKA SOUTH",38.5710628,-97.3750102,"Calc. from footages",17,"S",1,"W",13,"C  W2 NE SE",1980,-990,"SE","","Union Exploration Co.",1545," KB",3577,"",NA,NA,NA,"","17-MAY-1982","27-MAY-1982","24-MAY-1982","31-MAR-2001",NA,NA,NA,NA,"","D&A","Plugged and Abandoned","SWD",NA,1982-05-17,1982-05-27,1982-05-24,2001-03-31
"167885",1006098867,"15-135-21049",15135210490000,"PETERSILIE 'B'","3","PETERSILIE NORTHEAST",38.3324993,-99.9175495,"Calc. from footages",20,"S",24,"W",12,"C   NE NE",4620,-660,"SE","PICKRELL DRILLING CO., INC.","Pickrell Drilling Company, Inc.",2325," KB",4462,"",NA,NA,NA,"","05-MAY-1975","22-JUL-1975","19-MAY-2000","24-AUG-2007",NA,NA,NA,NA,"D17881.0","SWD-P&A","Plugged and Abandoned","JNE 12 (CUTTINGS WELL_ID=82131)  e-log marked 150' SE of NE NE & Petersilie SWD B - EB 11-30-2201",NA,1975-05-05,1975-07-22,2000-05-19,2007-08-24
"168282",1006099665,"15-135-21455",15135214550000,"Rupp A","4","ARNOLD SOUTHWEST",38.6117053,-100.0957629,"From GPS",16,"S",25,"W",33,"C   SE SW",676,-3304,"SE","Liberty Enterprises","Great Plains Petroleum, Inc.",2544," KB",4520,"",NA,NA,NA,"","17-APR-1978","27-APR-1978","","04-MAY-2012",NA,NA,NA,NA,"D19392.0","SWD","Authorized Injection Well","elog lease name: Rupp A 4 SWD",NA,1978-04-17,1978-04-27,NA,2012-05-04
"170755",1006104614,"15-135-30066",15135300660000,"WITTMAN","2","Schaben",38.3801281,-99.6930223,"Calc. from footages",19,"S",21,"W",19,"  E2 SW SW",660,-4505,"SE","Champlin Petroleum Co.","unavailable",2261," KB",4410,"",NA,NA,NA,"","24-APR-1965","11-AUG-1965","26-FEB-1991","26-APR-2011",1001119290,109386,NA,NA,"","OIL-P&A","Converted to SWD Well","Recompleted as disposal well 6/22/1982.",NA,1965-04-24,1965-08-11,1991-02-26,2011-04-26
"173142",1006109400,"15-147-20189",15147201890000,"WILTROUT 'A'","3","STONY POINT",39.6196234,-99.6138301,"Calc. from footages",5,"S",20,"W",18,"  SE SW NE",3170,-1425,"SE","CITIES SERVICE CO","unavailable",2037," GL",1624,"",NA,NA,NA,"09-APR-1975","19-MAY-1975","23-MAY-1975","24-MAY-1975","17-FEB-2012",NA,NA,NA,NA,"","OTHER-P&A(LH)","Plugged and Abandoned","Intented as SWD well. Lost Hole and plugged. Rig skidded west 6' to complete the Wiltrout 3 SWD well, 15-147-19121. Quarter calls changed from N2 NE SW NE to SE SW NE per Laughlin and Simmons Survey noted on Drillers log. (DS-DRL 2-16-2012)",1975-04-09,1975-05-19,1975-05-23,1975-05-24,2012-02-17
"174228",1006111579,"15-151-20727",15151207270000,"Hakanson","1-33","Harding",37.4735584,-98.5271237,"Calc. from footages",29,"S",11,"W",33,"  NW SW SE",990,-2310,"SE","F.G. Holl Co., LLC","F. G. Holl Company L.L.C.",1830," KB",2810,"",NA,NA,NA,"11-FEB-1980","12-FEB-1980","20-FEB-1980","","15-JUL-2015",NA,NA,1001174383,NA,"","GAS","Converted to EOR Well","Converted to SWD at some point.",1980-02-11,1980-02-12,1980-02-20,NA,2015-07-15
"176794",1006116757,"15-155-20560",15155205600000,"AMCO DISPOSAL","2","UNKNOWN",37.9657723,-97.9510944,"Calc. from footages",24,"S",6,"W",14,"  NE NE NW",3846,-3200,"SE","Amoco Production Co.","unavailable",1545," GL",4746,"",NA,NA,NA,"27-OCT-1978","06-JAN-1979","31-JAN-1979","","23-OCT-2015",NA,NA,NA,NA,"","OTHER(CLASS ONE (OLD))","Well Drilled","Changed status from SWD to Class 1 and location from E2 NW to NE NE NW per KDHE records. Class 1 Injection well under KDHE authority, no API (DRL 5-7-2012)",1978-10-27,1979-01-06,1979-01-31,NA,2015-10-23
"177113",1006117413,"15-155-20942",15155209420000,"WHITED","1","STROUD NORTH",38.041128,-97.8493457,"Calc. from footages",23,"S",5,"W",22,"  E2 NE NE",-660,-330,"NE","Jedco Prod","Jedco Production, Inc.",1516," KB",4050,"",NA,NA,NA,"07-JUN-1983","24-AUG-1983","03-SEP-1983","02-SEP-1983","31-AUG-2011",NA,NA,NA,NA,"","D&A","Plugged and Abandoned","also 'Whited SWD #1' on log",1983-06-07,1983-08-24,1983-09-03,1983-09-02,2011-08-31
"177389",1006117971,"15-155-21245",15155212450000,"KNOWLES TRUST","1-SWD","CHARTERS CORNER NORTHWEST",38.05605,-98.21768,"From GPS",23,"S",8,"W",17," SW NE NE NE",4808,-598,"SE","WHITE & ELLIS DRILLING INC","Falcon Exploration, Inc.",1668," KB",4372,"",NA,NA,NA,"01-MAR-1993","21-APR-1993","","05-JUN-2009","13-AUG-2009",NA,NA,NA,NA,"D26793.0","SWD-P&A","Plugged and Abandoned","White & Ellis was the original operator.  Operations turned over to Falcon Exploration at 3790 feet to be deepened for disposal purposes. (DRL 03-19-07)",1993-03-01,1993-04-21,NA,2009-06-05,2009-08-13
"177811",1006118832,"15-159-20337",15159203370000,"KNOP","1","CHASE-SILICA",38.3410364,-98.4420997,"Calc. from footages",20,"S",10,"W",4,"  SW SW NW",2922,-5093,"SE","TOMLINSON OIL","unavailable",1807," KB",3365,"",NA,NA,NA,"","23-OCT-1970","29-OCT-1970","31-OCT-1970","07-APR-2011",NA,NA,NA,NA,"","OIL-P&A","Converted to SWD Well","E logs list as SWD #2, however location matches 1. drl 03-27-06",NA,1970-10-23,1970-10-29,1970-10-31,2011-04-07
"178042",1006119303,"15-159-20580",15159205800000,"MAPCO - Williams Mitchell","SWD-1","UNKNOWN",38.3714005,-98.0723056,"Calc. from footages",19,"S",7,"W",27," SE NE SE NE",-1861,-130,"NE","MAPCO PRODUCTS - Mid America Pipeline - Williams Mitchell","unavailable",1744," KB",4123,"",NA,NA,NA,"","17-AUG-1975","13-DEC-1975","","24-JUL-2015",NA,NA,NA,NA,"","OTHER(CLASS ONE (OLD))","Spudded","Class 1 injection well under authority of KDHE.(DRL 4-16-2012)",NA,1975-08-17,1975-12-13,NA,2015-07-24
"180409",1006124139,"15-163-20492",15163204920000,"KRILEY","3","HARMONY HILL",39.342683,-99.3240009,"Calc. from footages",8,"S",18,"W",22," N2 NW NW SW",2415,-4950,"SE","NATIONAL OIL CO., INC.","OXY USA Inc.",1912," TOPO",974,"",NA,NA,NA,"25-APR-1973","22-APR-1973","23-MAY-1973","","14-DEC-2007",NA,NA,NA,NA,"D16995.0","SWD","Recompleted","SWDW",1973-04-25,1973-04-22,1973-05-23,NA,2007-12-14
"182505",1006128461,"15-163-22786",15163227860000,"BARTOS","2","JELINEK SOUTHWEST",39.2606765,-99.431474,"Calc. from footages",9,"S",19,"W",22,"  SW NE NW",4290,-3630,"SE","ENERGY THREE, INC.","Energy Three, Inc.",2145," KB",3818,"Arbuckle",40,NA,360,"16-OCT-1985","18-OCT-1985","11-DEC-1985","","22-MAY-2007",NA,NA,NA,NA,"D24482.0","SWD","Converted to Producing Well","Originally drilled as an oil well but completed as a SWD well. (drl 8-19-05)",1985-10-16,1985-10-18,1985-12-11,NA,2007-05-22
"182516",1006128483,"15-163-22798",15163227980000,"Kennedy-Hrabe","2","DOPITA",39.323867,-99.2565948,"Calc. from footages",8,"S",17,"W",30,"C  NE SW SE",990,-1650,"SE","OKMAR OIL COMPANY","Black Diamond Oil, Inc.",1955," KB",3780,"",NA,NA,NA,"24-OCT-1985","15-NOV-1985","22-NOV-1985","27-AUG-1997","05-MAY-2006",NA,NA,NA,NA,"D24530.0","SWD-P&A","Plugged and Abandoned","also Kennedy SWD #2 on log  (AB 3-30-00)",1985-10-24,1985-11-15,1985-11-22,1997-08-27,2006-05-05
"183640",1006130765,"15-165-20580",15165205800000,"KRH","1","REICHEL EAST",38.5374773,-99.0693255,"Calc. from footages",17,"S",16,"W",26," SW SW SW SW",262,70,"SW","KANAS REFINED HELIUM","unavailable",2009," KB",3843,"",NA,NA,NA,"","06-MAR-1976","22-MAR-1976","","22-JUN-2016",NA,NA,NA,NA,"","SWD","Injection Authorization Terminated","Class I Injection well under authority KDHE (DRL 12-29-11)",NA,1976-03-06,1976-03-22,NA,2016-06-22
"185515",1006134596,"15-167-20881",15167208810000,"Louie 'A'","2","Hall-Gurney",38.7955776,-98.865054,"From GPS",14,"S",14,"W",34,"  SE NE NW",4283,-3062,"SE","Mai Oil Operations, Inc.","Mai Oil Operations, Inc.",1810," KB",3090,"",NA,NA,NA,"","29-MAY-1976","14-JUL-1976","","11-MAY-2015",1001113902,105780,NA,NA,"E25143.3","OIL","Authorized Injection Well","changed to SWD in 1997.",NA,1976-05-29,1976-07-14,NA,2015-05-11
"187665",1006138936,"15-167-30043",15167300430000,"Pelz-Schreiber","1","DAVIDSON",38.7003709,-98.5307713,"Calc. from footages",15,"S",11,"W",34,"  W2 W2 SE",1320,-2310,"SE","Duke Drilling Co.","Guthrie Oil Co., Inc.",1862," KB",3309,"",NA,NA,NA,"","26-MAR-1965","20-MAY-1965","01-MAY-1987","07-OCT-2006",1001111046,103332,NA,NA,"","OIL-P&A","Well Drilled","Converted to SWD at some point.",NA,1965-03-26,1965-05-20,1987-05-01,2006-10-07
"187818",1006139241,"15-167-30270",15167302700000,"MILLER 'A'","2","RUSSELL",38.8901091,-98.8923929,"Calc. from footages",13,"S",14,"W",29,"  SE NE SE",1650,-330,"SE","Mary A. Herman","unavailable",1869," KB",3370,"",NA,NA,NA,"","27-SEP-1966","03-OCT-1966","03-OCT-1966","19-JUL-2007",NA,NA,NA,NA,"","D&A","Plugged and Abandoned","elog well header is marked Warren 2 SWD-BRB10/18/2000",NA,1966-09-27,1966-10-03,1966-10-03,2007-07-19
"188189",1006139991,"15-171-20015",15171200150000,"SMITH","6","HUGOTON NORTH",38.3648814,-100.9354578,"Calc. from footages",19,"S",33,"W",35,"   NE NW",4770,-3300,"SE","YUCCA PETROLEUM","Petroleum Production Management, Inc.",2960," KB",4750,"",NA,NA,NA,"10-MAR-1969","22-FEB-1969","07-MAR-1969","19-JUL-1983","13-JAN-2012",NA,NA,NA,NA,"D14941.0","SWD-P&A","Plugged and Abandoned","Status changed to SWD per Driller's Log and other documentation. (DRL 05 2008)",1969-03-10,1969-02-22,1969-03-07,1983-07-19,2012-01-13
"188787",1006141191,"15-173-20149",15173201490000,"PLANT SITE DISPOSAL","7","UNKNOWN",37.584049,-97.421473,"From GPS",28,"S",1,"W",27,"  E2 NW SW",2019,-4178,"SE","VULCAN MATERIALS","Vulcan Materials Co.- Chemicals Division",1317," KB",4250,"",NA,NA,NA,"","14-OCT-1976","31-OCT-1976","","07-MAY-2015",NA,NA,NA,NA,"","SWD","Well Drilled","Class 1 injection well under KDHE authority.",NA,1976-10-14,1976-10-31,NA,2015-05-07
"188841",1006141301,"15-173-20203",15173202030000,"HIGH PLAINS CORPORATION","1","UNKNOWN",37.7859547,-97.5316454,"Calc. from footages",26,"S",2,"W",15,"  NE NW SW",2386,1148,"SW","INTERNATIONAL PLASTICS","Abengoa Bioenergy Corporation",1389," KB",4520,"",NA,NA,NA,"","22-FEB-1979","20-APR-1979","25-MAR-2003","10-APR-2012",NA,NA,NA,NA,"D26038.0","OTHER-P&A(CLASS ONE (OLD))","Plugged and Abandoned","Class I Injection well under authority KDHE (DRL 12-29-2011) Converted to Class II (DRL 4/10/2012)",NA,1979-02-22,1979-04-20,2003-03-25,2012-04-10
"191621",1006146838,"15-179-20659",15179206590000,"YOWELL 'C'","1","SOLOMON FORK EAST",39.289717,-100.3941434,"Calc. from footages",9,"S",28,"W",12,"C  SW NW NE",4290,-2310,"SE","DONALD C SLAWSON","Slawson, Donald C.",2708," KB",4110,"",NA,NA,NA,"16-JUL-1982","19-JUL-1982","28-JUL-1982","28-JUL-1982","05-MAY-2009",NA,NA,NA,NA,"","D&A","Plugged and Abandoned","VIKING RESOURCES SWD",1982-07-16,1982-07-19,1982-07-28,1982-07-28,2009-05-05
"192618",1006148904,"15-185-20434",15185204340000,"Sara Sleeper","1","SALT MARSH SOUTH",38.1703955,-98.5358309,"From GPS",22,"S",11,"W",4," N2 SW NW NE",4620,-2310,"SE","Clinton Oil Co.","Vamco Operations",1749," KB",3450,"",NA,NA,NA,"","03-JAN-1973","09-FEB-1973","","17-JAN-2017",1001175872,133170,NA,NA,"","OIL","Producing","Discovery well for Salt Marsh South field. Some sources have Sara Sleeper 1-V.",NA,1973-01-03,1973-02-09,NA,2017-01-17
"193530",1006150734,"15-185-21399",15185213990000,"Whooping Crane","1","SALT MARSH",38.1782112,-98.5345092,"Calc. from footages",21,"S",11,"W",33,"C   NW SE",1980,-1980,"SE","Target Oil and Gas, Inc.","General Oil Company, Inc.",1748," KB",3500,"",NA,NA,NA,"","26-AUG-1981","25-SEP-1981","16-OCT-1995","09-SEP-2013",1001129122,115865,NA,NA,"","OIL-P&A","Plugged and Abandoned","Discovery well for Salt Marsh field.",NA,1981-08-26,1981-09-25,1995-10-16,2013-09-09
"194577",1006152831,"15-185-22541",15185225410000,"Sleeper 'B'","1","SALT MARSH SOUTH",38.1626488,-98.5311178,"Calc. from footages",22,"S",11,"W",4,"  SW NE SE",1650,-990,"SE","Ainsworth Operating Co.","Ainsworth Operating Co.",1757," KB",3580,"",NA,NA,NA,"","06-AUG-1988","17-SEP-1988","","12-JAN-2017",1001139712,128788,NA,NA,"","OIL","Recompleted","Discovery well for Salt Marsh South field, pool 2.",NA,1988-08-06,1988-09-17,NA,2017-01-12
"194870",1006153417,"15-185-22851",15185228510000,"Sara Sleeper","3 TWIN","SALT MARSH SOUTH",38.1681513,-98.5334952,"Calc. from footages",22,"S",11,"W",4," NW NE SW NE",3648,-1670,"SE","Hallwood Petroleum, Inc.","unavailable",1757," KB",3660,"",NA,NA,NA,"","19-NOV-1992","27-JAN-1993","","03-JAN-2014",1001175872,133170,NA,NA,"","OIL","","Discovery well for Salt Marsh South field.",NA,1992-11-19,1993-01-27,NA,2014-01-03
"198322",1006160336,"15-191-20410",15191204100000,"Holt","1","CHICASKIA",37.2147552,-97.6534177,"Calc. from footages",32,"S",3,"W",33,"   SW SW",660,-4620,"SE","O.A. Sutton","unavailable",1208," KB",4558,"",NA,NA,NA,"","06-JAN-1974","18-JAN-1974","18-JAN-1974","10-NOV-2014",NA,NA,NA,NA,"","D&A","Plugged and Abandoned","SWD by TXO PRODUCTION in 1981",NA,1974-01-06,1974-01-18,1974-01-18,2014-11-10
"199651",1006163073,"15-191-21889",15191218890000,"Snowden","1","CALDWELL WEST",37.0332,-97.69088,"From GPS",35,"S",3,"W",6,"C   SW NW",3232,-5316,"SE","Harper Oil Co.","Harper Oil Company",1174," KB",5200,"",NA,NA,NA,"14-OCT-1993","18-NOV-1985","04-DEC-1985","31-DEC-1985","13-JUN-2014",1001142664,133304,NA,NA,"","D&A","Plugged and Abandoned","owwo as KOLARIK SWD  by UNION VALLEY in 1993. Location adjusted based on GPS values on OWWO. Irregular section.",1993-10-14,1985-11-18,1985-12-04,1985-12-31,2014-06-13
"200174",1006164125,"15-193-20148",15193201480000,"HECKER","4","U-PAC",39.1390131,-100.9333623,"Calc. from footages",10,"S",32,"W",31," SE NW NW SE",2149,-2104,"SE","Dane G. Hansen Trust","unavailable",3085," KB",4610,"",NA,NA,NA,"11-AUG-1977","16-AUG-1977","25-AUG-1977","25-AUG-1977","14-JUN-2010",NA,NA,NA,NA,"","D&A","Plugged and Abandoned","OWWO as SWD in 1990.",1977-08-11,1977-08-16,1977-08-25,1977-08-25,2010-06-14
"201023",1006165827,"15-195-20404",15195204040000,"TIDBALL","1","TIDBALL",39.1165312,-100.0482671,"Calc. from footages",11,"S",25,"W",12,"  NW NE NW",4950,-3630,"SE","Associates Oil and Gas, Inc.","G L M Company",2380," GL",2014,"",NA,NA,NA,"","16-MAR-1977","18-MAR-1977","25-OCT-2004","23-SEP-2016",NA,NA,NA,NA,"D19046.0","SWD-P&A","Plugged and Abandoned","elog marked Tidball SWD - LH 7-5-2000",NA,1977-03-16,1977-03-18,2004-10-25,2016-09-23
"201841",1006167466,"15-195-21267",15195212670000,"PFEIFER","3","VODA SOUTHEAST",39.0474055,-99.9297328,"Calc. from footages",11,"S",24,"W",36,"  NW SE SE",990,-990,"SE","HELBERG OIL","Helberg Oil Company",1846," GL",1856,"",NA,NA,NA,"07-JUL-1983","01-AUG-1983","01-OCT-1983","28-MAR-1997","26-JUL-2010",NA,NA,NA,NA,"","D&A","Plugged and Abandoned","Info from the KCC, 21 May 2007, explaining why there is confusion about APIs 21267 and 20277:  15-198-20277-00-02 - SWD Application submitted in 1990 BUT submitted under 15-195-21267 Pfeifer 3 990 FSL, 990 FEL, NWSESE.  Order was written and well put on",1983-07-07,1983-08-01,1983-10-01,1997-03-28,2010-07-26
"202593",1006168980,"15-195-22081",15195220810000,"Hillman","2","GAGELMAN SOUTH",39.0752789,-99.7141654,"From GPS",11,"S",22,"W",24,"  SE SE SW",424,-3104,"SE","John Jay Darrah, Jr.","G L M Company",2251," KB",3379,"",NA,NA,NA,"01-FEB-1991","11-FEB-1991","20-MAY-1991","","13-APR-2018",NA,NA,NA,NA,"D26228.0","SWD","Recompleted","Disposal into Cedar Hills Formation. (DRL 02 2007)",1991-02-01,1991-02-11,1991-05-20,NA,2018-04-13
"204042",1006513485,"15-051-70112",15051701120000,"C. DREILING","5","Bemis-Shutts",39.0518708,-99.1889313,"Calc. from footages",11,"S",17,"W",34,"  NW NE SE",2310,-990,"SE","THE TEXAS CO.","Fell Oil & Gas Company",2003," KB",3250,"",NA,NA,NA,"","01-FEB-1952","16-MAR-1952","","05-APR-2011",NA,NA,NA,NA,"","OIL","","Well worked over and deepened in 1955 and converted to SWD. DF, Depth, Dates and Lease Name per Deepening Record. (DRL 11-07-06)",NA,1952-02-01,1952-03-16,NA,2011-04-05
