,KID,API_NUMBER,has_api,activity,well_type,assignment,reason,notes,comments_examined,documents_verified,STATUS,STATUS2,COMMENTS
470162,1045663904,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS1),,"From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Garden City, Permit 01-055-003"
470163,1045663905,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS1),,"From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of McPherson, Permit 01-113-003"
470164,1045663906,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS1),,"From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of McPherson, Permit 01-113-004"
470165,1045663907,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS1),,"From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of McPherson, Permit 01-113-001"
470166,1045663908,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS1),,"From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of McPherson, Permit 01-159-002"
470167,1045663909,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS1),,"From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of McPherson, Permit 01-159-008"
478690,1046801829,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS1),,"UIC Class I Non Hazardous Waste Injection Well, Kansas Permit No. KS-01-113-011. KGS-W, MTD, 05/08/2018"
416028,1043994238,,NA,active,class1,comments,c1_com,lists_as_permit,yes,,OTHER(NHDW),,"Non Hazardous Class 1 Disposal Well KDHE Permit - KS-01-159-008. MTD, WWSL, 09-06-2011"
105164,1002947130,15-173-03802,NA,plugged,class1,comments,inj_to_c1_status_change_kdhe,comments_examined,yes,,OTHER-P&A(CLASS ONE (OLD)),,Class 1 injection well under KDHE authority. Status changed from INJ to CLASSI (DRL 2-21-2012)
429401,1044214429,,NA,active,class5,comments,class5_comments,comments_examined,yes,,OTHER(CLASS ONE (OLD)),,"Deep Class V well regulated by KDHE, per KDHE (DLS-KGS 8-17-2017) well added per Gerlach records, no API (JAR 1-11-2012)"
201841,1006167466,15-195-21267,NA,plugged,prob_not_swd,comments,misrecording,comments_examined,yes,,D&A,Plugged and Abandoned,"Info from the KCC, 21 May 2007, explaining why there is confusion about APIs 21267 and 20277:  15-198-20277-00-02 - SWD Application submitted in 1990 BUT submitted under 15-195-21267 Pfeifer 3 990 FSL, 990 FEL, NWSESE.  Order was written and well put on"
267518,1025829545,15-051-23717,NA,plugged,prob_not_swd,comments,name_change_kcc,comments_examined,yes,,D&A,Plugged and Abandoned,"On 28 Jan 2008, the KCC changed the name on this record from FRISBIE 1-SWD to RICHARDS 2. MCM 29 Jan 2008"
318397,1030680873,15-075-20281-0001,NA,ab_loc,prob_swd,comments,part_swd_conversion,some_work_convert_swd_deemed_uneconomic,yes,,D&A,Plugged and Abandoned,"Some work done to convert to SWD, but deemed uneconomic."
448434,1006723041,15-163-01127,NA,plugged,prob_swd,comments,convert_to_swd,comments_examined,yes,,D&A,Plugged and Abandoned,Stanolind Oil & Gas deepened well in 1954 to total depth of 4060 for SWDW. (drl 8-18-05)
453138,1045079582,15-023-21443,NA,plugged,def_not,comments,disp_in_word,comments_examined,yes,,D&A,Plugged and Abandoned,Logs of same type show different scales so all were kept for display.
470374,1045088967,15-023-21447,NA,plugged,def_not,comments,disp_in_word,comments_examined,yes,,D&A,Plugged and Abandoned,Elogs of similar type have different display parameters.
33975,1001304802,15-167-06443,NA,plugged,prob_swd,comments,convert_to_swd,comments_examined,yes,,D&A,,comp date per top card - SKS 10/2/2000  TD 3624 deepened 10/14-11/18/1936 SWD per top card- SKS 10/2/2000
77759,1002916573,15-073-20513-0001,NA,plugged,prob_swd,comments,convert_to_swd,comments_examined,yes,,D&A,,Was Doyle Purkeypile  #2 Jenkins. Redrilled for SWDW in 4-14-1970.
82306,1002921359,15-079-00944,NA,plugged,prob_swd,comments,convert_to_swd,comments_examined,yes,,D&A,,well was deepened to SWD 05-23-1936 (DRL 05-31-2012)
103366,1002944879,15-173-00195,NA,plugged,prob_not_swd,comments,drill_log_status_change,comments_examined,yes,,D&A,,"Status changed from SWD, spud date changed from 01 July 1959 and completion date changed from 07 January 1960 per Driller's Log. (DRL 02 2008)"
110017,1002952711,15-191-11229,NA,plugged,prob_swd,comments,also_swd,comments_examined,yes,,D&A,,also KISKA SWD
353945,1034571724,15-099-23940,NA,NA,prob_not_swd,comments,aco1_status_change,comments_examined,yes,,CBM,Converted to Producing Well,Changed status from SWD per ACO-1. (DRL 04-29-2008)
353930,1034571694,15-099-23925,NA,NA,prob_not_swd,comments,aco1_status_change,comments_examined,yes,,CBM,Producing,Status changed from SWD to Shut-in CBM per ACO-1. (DRL 10 2007)
353935,1034571704,15-099-23930,NA,NA,prob_not_swd,comments,aco1_status_change,comments_examined,yes,,CBM,Producing,Status changed from SWD to Shut-in CBM per ACO-1. (DRL 10 2007)
353940,1034571714,15-099-23935,NA,NA,prob_not_swd,comments,aco1_status_change,comments_examined,yes,,CBM,Producing,Status changed from SWD to Shut-in CBM per ACO-1. (DRL 10 2007)
353943,1034571720,15-099-23938,NA,NA,prob_not_swd,comments,aco1_status_change,comments_examined,yes,,CBM,Producing,Status changed from SWD to Shut-in CBM per ACO-1. (DRL 10 2007)
359159,1035941205,15-099-24075,NA,NA,prob_not_swd,comments,aco1_status_change,comments_examined,yes,,CBM,Producing,Status changed from SWD to Shut-in CBM per ACO-1. (DRL 10 2007)
396503,1040856877,15-019-26589-0001,NA,active,prob_swd,comments,dual_cbm_swd,disposal_into_dot,yes,yes,CBM,Producing,Disposal into Burgess.
353931,1034571696,15-099-23926,NA,NA,prob_not_swd,comments,aco1_status_change,comments_examined,yes,,CBM,Recompleted,Changed total depth from 834 per ACO-1. Status changed from SWD to Shut-in CBM per ACO-1. (DRL 10 2007)
353932,1034571698,15-099-23927,NA,NA,prob_not_swd,comments,aco1_status_change,possible_intent,yes,yes,CBM,Recompleted,Changed status from SWD per ACO-1. (DRL 04-29-2008)
60564,1002897521,15-023-00022,NA,plugged,def_not,comments,disp_in_word,comments_examined,yes,,D&A,Plugged and Abandoned,The cuttings are in boxes 38896 and 38897.  Duplicate samples were in boxes 19702 and 19706 but the Wichita Well Sample Library will dispose of those.  Those box numbers will be reused. MCM 8-18-04
71870,1002909985,15-051-00816,NA,plugged,prob_not_swd,comments,misrecording,comments_examined,yes,,D&A,Plugged and Abandoned,elog mismarked Crathorne 1 SWD - RME 3/28/2001
100804,1002941928,15-163-00872,NA,plugged,prob_not_swd,comments,no_indication_of_swd,comments_examined,yes,,D&A,Plugged and Abandoned,"no indication of SWD or OWWO in top cards or driller s log.  1981 elog lease name: Mayhew 3, best match for location and TD - dm 03-29-2001"
107308,1002949558,15-185-01272,NA,plugged,def_not,comments,salt_in_field,comments_examined,yes,,D&A,Plugged and Abandoned,Discovery well for Salt Marsh field.
367517,1036244697,15-059-25190,NA,NA,def_not,comments,disp_in_word,comments_examined,yes,,EOR,Authorized Injection Well,ACO-1 Status displays Oil (DRL 1-16-2009)
154680,1006072454,15-081-10145,NA,NA,prob_not_swd,comments,misrecording,comments_examined,yes,,GAS,Inactive Well,"The Kelley 'D' 1 is a SWD well.  The proration record is numbered 'D' 1, but I think it is really the 'C' 1 so I put it here.  MCM 1-16-02"
252084,1022167742,15-055-21480-0001,NA,NA,prob_not_swd,comments,similar_api,comments_examined,yes,,GAS,Producing,"Donna Dill (12/14/01): This is a wierd one, but both numbers are actually good.  15-055-21480-0001 is a gas well that is still producing.  15-055-21480 is a side string disposal that was plugged 05/16/2001."
390275,1038578055,15-081-21838,NA,NA,def_not,comments,class_in_word,comments_examined,yes,,GAS,Producing,"Info from DOR 26 Feb 2009: Lease 139805, (API 15-081-21838) had a name change from Smith Z-1 to McCoy C-2. Per the operator, 'the well was classified as an oil well and later  the composition of production (ratio of gas to oil) was changed and was reclas"
78143,1002916970,15-073-20935,NA,NA,def_not,comments,salt_in_field,comments_examined,yes,,GAS,Well Drilled,"Very limited documentation for this well. One completion card  places well W2 W2 SW (1200 FNL, 330 FWL of SW), later card places in SE NE SW (1200 FNL, 320 FEL of SW). Elevation and written description on card: 1/4 mi NW of Salt Springs, matches SE NE SW"
24615,1001283493,15-159-05046,NA,NA,def_not,comments,salt_in_field,comments_examined,yes,,GAS-P&A,Plugged and Abandoned,SALT CITY (CUTTINGS WELL_ID=77934)
396064,1040727784,15-007-23438,NA,NA,def_not,comments,salt_in_field,comments_examined,yes,,O&G,Recompleted,Discovery well for Salty Creek field.
82826,1002921952,15-081-30082,NA,NA,prob_not_swd,comments,same_name_swd,comments_examined,yes,,O&G-P&A,Plugged and Abandoned,From Donna Dill at the KCC: 15-081-30081-0000 is the Fromong 1 drilled in 1965.  It was reworked as a SWD well in 1983 and called the Fromong 2. There is another Fromong 2 (15-081-30082-0000) drilled in 1966.   MCM 12-29-03
467404,1043122331,15-007-23621,NA,NA,def_not,comments,salt_in_field,comments_examined,yes,,O&G-P&A,Plugged and Abandoned,Discovery well for Salty Creek West field.
388051,1038329619,15-115-19139,NA,NA,prob_not_swd,comments,drill_log_status_change,comments_examined,yes,,OIL,Authorized Injection Well,"Quarters changed from SE NE SW to SW NE SW, elev. from 1331 to 1381 KB, and status from SWD to Oil per drillers log; TD, spud and completion dates, and IP added per drillers log; DRL-DRS, 03-11-2009."
273061,1026595989,15-023-20441,NA,NA,prob_not_swd,comments,aco1_status_change,comments_examined,yes,,OIL,Converted to EOR Well,"ACO-1 states well use as oil, Status was previously listed as SWD. (DRL-DS 3-31-09)"
406797,1043121905,15-207-27724,NA,NA,prob_not_swd,comments,aco1_status_change,comments_examined,yes,,OIL,Converted to EOR Well,Name and status changed from SWD to Oil on ACO-1.
192618,1006148904,15-185-20434,NA,NA,def_not,comments,salt_in_field,comments_examined,yes,,OIL,Producing,Discovery well for Salt Marsh South field. Some sources have Sara Sleeper 1-V.
345923,1033438720,15-027-20021-0001,NA,NA,prob_not_swd,comments,aco1_status_change,comments_examined,yes,,OIL,Producing,Status changed from SWD per ACO-1. (DRL 09 2007)
452685,1045039714,15-019-27524,NA,NA,prob_not_swd,comments,name_change_operator,comments_examined,yes,,OIL,Producing,"well number changed from 5 SWD to 5-1 per operator, added spud, compl dates. (DRL-KGS 11-9-2016)"
194577,1006152831,15-185-22541,NA,NA,def_not,comments,salt_in_field,comments_examined,yes,,OIL,Recompleted,"Discovery well for Salt Marsh South field, pool 2."
320458,1031318458,15-185-20874-0001,NA,NA,def_not,comments,salt_in_field,comments_examined,yes,,OIL,Recompleted,"Discovery well for Salt Marsh Southeast. Later ops Wayne Kirkman, Target Oil and Gas. Plugged by Larson."
371763,1036762229,15-133-26893,NA,NA,prob_not_swd,comments,name_change_intent,comments_examined,yes,,OIL,UIC Application Withdrawn,Corrected Notice of Intent - Well name from Van Cleave SWD 18-1 to Van Cleave 18-1
194870,1006153417,15-185-22851,NA,NA,def_not,comments,salt_in_field,comments_examined,yes,,OIL,,Discovery well for Salt Marsh South field.
279058,1026657446,15-185-20511-0002,NA,NA,def_not,comments,salt_in_field,comments_examined,yes,,OIL,,Discovery well for Salt Marsh South field.
104844,1002946761,15-173-03472,NA,plugged,prob_not_swd,comments,drill_log_status_change,comments_examined,yes,,OIL-P&A,Plugged and Abandoned,"Changed quarter calls from S2 NW SW, completion date from 11-04-1929, and status from SWD per Driller's Log (DRL 03-17-2008)"
107249,1002949495,15-185-01211,NA,plugged,def_not,comments,salt_in_field,comments_examined,yes,,OIL-P&A,Plugged and Abandoned,Discovery well for Salt Marsh field.
131149,1006025429,15-009-22563,NA,plugged,def_not,comments,salt_in_field,comments_examined,yes,,OIL-P&A,Plugged and Abandoned,some records marked Jacobs F Rock Salt Blues 1 - SKS 5/29/20021
193530,1006150734,15-185-21399,NA,plugged,def_not,comments,salt_in_field,comments_examined,yes,,OIL-P&A,Plugged and Abandoned,Discovery well for Salt Marsh field.
208479,1006740005,15-115-71366,NA,plugged,prob_not_swd,comments,drill_log_status_change,comments_examined,yes,,OIL-P&A,Plugged and Abandoned,"Operator changed from Knight Casing Pulling Co. to Francis Hawn, status changed from SWD to Oil, and IP added per drillers log; DRL-DRS, 03-11-2009."
12836,1001222409,15-053-34972,NA,NA,def_not,comments,salt_mine,comments_examined,yes,,OTHER(),,Salt mine shaft. No oil or gas production.
12837,1001222410,15-053-34973,NA,NA,def_not,comments,salt_mine,comments_examined,yes,,OTHER(),,Salt mine. No oil or gas production.
374997,1037027099,,NA,NA,def_not,comments,salt_in_field,comments_examined,yes,,OTHER(),,"KDOT Bridge core. Whole core, 2 in diameter.  K-170 over Salt Creek.  On 2nd floor of Lawrence Core Facility."
407824,1043235973,,NA,NA,def_not,comments,salt_cavern_gas_storage,comments_examined,yes,,OTHER(GAS-STG),,"INFO PER RECORDS AT THE KS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-21-2010)  Salt cavern gas storage well, under authority KDHE, no API. This record was originally in Sec 18.(DRL 1-6-2012)"
407825,1043236002,,NA,NA,def_not,comments,salt_cavern_gas_storage,comments_examined,yes,,OTHER(GAS-STG),,"INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-21-2010)  Salt cavern gas storage well, under authority KDHE, no API. This record was originally in Sec 18.(DRL 1-6-2012)"
407829,1043236093,,NA,NA,def_not,comments,salt_cavern_gas_storage,comments_examined,yes,,OTHER(GAS-STG),,"INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-21-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-6-2012)"
407830,1043236094,,NA,NA,def_not,comments,salt_cavern_gas_storage,comments_examined,yes,,OTHER(GAS-STG),,"INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-21-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-6-2012)"
407831,1043236096,,NA,NA,def_not,comments,salt_cavern_gas_storage,comments_examined,yes,,OTHER(GAS-STG),,"INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-21-2010)    Salt cavern gas storage well, under authority KDHE, no API (DRL 1-6-2012)"
407832,1043236098,,NA,NA,def_not,comments,salt_cavern_gas_storage,comments_examined,yes,,OTHER(GAS-STG),,"INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-21-2010)    Salt cavern gas storage well, under authority KDHE, no API (DRL 1-6-2012)"
407833,1043236105,,NA,NA,def_not,comments,salt_cavern_gas_storage,comments_examined,yes,,OTHER(GAS-STG),,"INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-21-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-6-2012)"
407834,1043236106,,NA,NA,def_not,comments,salt_cavern_gas_storage,comments_examined,yes,,OTHER(GAS-STG),,"INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-21-2010)   Salt cavern gas storage well, under authority KDHE, no API (DRL 1-6-2012)"
407835,1043236107,,NA,NA,def_not,comments,salt_cavern_gas_storage,comments_examined,yes,,OTHER(GAS-STG),,"INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-21-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-6-2012)"
407836,1043236108,,NA,NA,def_not,comments,salt_cavern_gas_storage,comments_examined,yes,,OTHER(GAS-STG),,"INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-21-2010)    Salt cavern gas storage well, under authority KDHE, no API (DRL 1-6-2012)"
407837,1043236110,,NA,NA,def_not,comments,salt_cavern_gas_storage,comments_examined,yes,,OTHER(GAS-STG),,"INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-21-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-6-2012)"
407838,1043236111,,NA,NA,def_not,comments,salt_cavern_gas_storage,comments_examined,yes,,OTHER(GAS-STG),,"INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-21-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-6-2012)"
407841,1043236143,,NA,NA,def_not,comments,salt_cavern_gas_storage,comments_examined,yes,,OTHER(GAS-STG),,"INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-21-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
407842,1043236144,,NA,NA,def_not,comments,salt_cavern_gas_storage,comments_examined,yes,,OTHER(GAS-STG),,"INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-21-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
407843,1043236147,,NA,NA,def_not,comments,salt_cavern_gas_storage,comments_examined,yes,,OTHER(GAS-STG),,"INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-27-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)   Gamma Ray Density Log well named 'X9' (DRL 8-24-11)"
407844,1043236148,,NA,NA,def_not,comments,salt_cavern_gas_storage,comments_examined,yes,,OTHER(GAS-STG),,"INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-21-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
407845,1043236150,,NA,NA,def_not,comments,salt_cavern_gas_storage,comments_examined,yes,,OTHER(GAS-STG),,"INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-21-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
407846,1043236152,,NA,NA,def_not,comments,salt_cavern_gas_storage,comments_examined,yes,,OTHER(GAS-STG),,"INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-21-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
407847,1043236156,,NA,NA,def_not,comments,salt_cavern_gas_storage,comments_examined,yes,,OTHER(GAS-STG),,"INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-21-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-6-2012)"
407884,1043236357,,NA,NA,def_not,comments,salt_cavern_gas_storage,comments_examined,yes,,OTHER(GAS-STG),,"Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
407885,1043236358,,NA,NA,def_not,comments,salt_cavern_gas_storage,comments_examined,yes,,OTHER(GAS-STG),,"INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-27-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
407886,1043236359,,NA,NA,def_not,comments,salt_cavern_gas_storage,comments_examined,yes,,OTHER(GAS-STG),,"INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-22-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
407887,1043236360,,NA,NA,def_not,comments,salt_cavern_gas_storage,comments_examined,yes,,OTHER(GAS-STG),,"INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-22-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
407889,1043236362,,NA,NA,def_not,comments,salt_cavern_gas_storage,comments_examined,yes,,OTHER(GAS-STG),,"Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)    Gamma Ray Density Log mislabeled as section 28 (DRL 8-24-11)"
407893,1043236366,,NA,NA,def_not,comments,salt_cavern_gas_storage,comments_examined,yes,,OTHER(GAS-STG),,"INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-22-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
407894,1043236367,,NA,NA,def_not,comments,salt_cavern_gas_storage,comments_examined,yes,,OTHER(GAS-STG),,"INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-22-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
407895,1043236368,,NA,NA,def_not,comments,salt_cavern_gas_storage,comments_examined,yes,,OTHER(GAS-STG),,"INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-22-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
407896,1043236369,,NA,NA,def_not,comments,salt_cavern_gas_storage,comments_examined,yes,,OTHER(GAS-STG),,"INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-22-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
407897,1043236370,,NA,NA,def_not,comments,salt_cavern_gas_storage,comments_examined,yes,,OTHER(GAS-STG),,"INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-22-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
407898,1043236371,,NA,NA,def_not,comments,salt_cavern_gas_storage,comments_examined,yes,,OTHER(GAS-STG),,"INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-22-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
407899,1043236372,,NA,NA,def_not,comments,salt_cavern_gas_storage,comments_examined,yes,,OTHER(GAS-STG),,"INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-22-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
407900,1043236373,,NA,NA,def_not,comments,salt_cavern_gas_storage,comments_examined,yes,,OTHER(GAS-STG),,"INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-27-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
407902,1043236410,,NA,NA,def_not,comments,salt_cavern_gas_storage,comments_examined,yes,,OTHER(GAS-STG),,"INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-22-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
407903,1043236871,,NA,NA,def_not,comments,salt_cavern_gas_storage,comments_examined,yes,,OTHER(GAS-STG),,"INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-27-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
407904,1043236873,,NA,NA,def_not,comments,salt_cavern_gas_storage,comments_examined,yes,,OTHER(GAS-STG),,"INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-27-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
407905,1043236875,,NA,NA,def_not,comments,salt_cavern_gas_storage,comments_examined,yes,,OTHER(GAS-STG),,"INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-27-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
407906,1043236878,,NA,NA,def_not,comments,salt_cavern_gas_storage,comments_examined,yes,,OTHER(GAS-STG),,"INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-27-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
407907,1043236879,,NA,NA,def_not,comments,salt_cavern_gas_storage,comments_examined,yes,,OTHER(GAS-STG),,"INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-27-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
407908,1043236880,,NA,NA,def_not,comments,salt_cavern_gas_storage,comments_examined,yes,,OTHER(GAS-STG),,"INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-27-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
407909,1043236881,,NA,NA,def_not,comments,salt_cavern_gas_storage,comments_examined,yes,,OTHER(GAS-STG),,"INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-27-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
407910,1043236882,,NA,NA,def_not,comments,salt_cavern_gas_storage,comments_examined,yes,,OTHER(GAS-STG),,"INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-27-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
407911,1043236986,,NA,NA,def_not,comments,salt_cavern_gas_storage,comments_examined,yes,,OTHER(GAS-STG),,"INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-27-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
407912,1043236995,,NA,NA,def_not,comments,salt_cavern_gas_storage,comments_examined,yes,,OTHER(GAS-STG),,"INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-27-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-6-2012)"
407913,1043236996,,NA,NA,def_not,comments,salt_cavern_gas_storage,comments_examined,yes,,OTHER(GAS-STG),,"Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
407914,1043236997,,NA,NA,def_not,comments,salt_cavern_gas_storage,comments_examined,yes,,OTHER(GAS-STG),,"INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-27-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
407915,1043236998,,NA,NA,def_not,comments,salt_cavern_gas_storage,comments_examined,yes,,OTHER(GAS-STG),,"INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-27-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
407916,1043236999,,NA,NA,def_not,comments,salt_cavern_gas_storage,comments_examined,yes,,OTHER(GAS-STG),,"INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-27-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
407918,1043237001,,NA,NA,def_not,comments,salt_cavern_gas_storage,comments_examined,yes,,OTHER(GAS-STG),,"INFORMATION PER RECORDS AT KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-27-2010)    Gamma Ray Density Log well labeled as 'X 10' (DRL 8-24-11)    Salt cavern gas storage well, under authority KDHE, no API (DRL 1-6-2012)"
407919,1043237002,,NA,NA,def_not,comments,salt_cavern_gas_storage,comments_examined,yes,,OTHER(GAS-STG),,"INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-27-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-10-2012)"
